CELL	BSC	LAI	CI	BCCH	BSIC	
JDJLLZ1	JMSM1B1	9859	30081	518	54	
JDJLLZ2	JMSM1B1	9859	30082	522	64	
JDJLLZ3	JMSM1B1	9859	30083	529	22	
JDKBJZ1	JMSM1B1	9859	30181	520	35	
JDKBJZ2	JMSM1B1	9859	30182	528	53	
JDKBJZ3	JMSM1B1	9859	30183	531	40	
JDKCSA1	JMSM1B1	9859	31051	512	27	
JDKCSA2	JMSM1B1	9859	31052	518	26	
JDKCSA3	JMSM1B1	9859	31053	535	46	
JDKDDE1	JMSM1B1	9859	30581	527	76	
JDKDDE2	JMSM1B1	9859	30582	513	11	
JDKDDE3	JMSM1B1	9859	30583	525	51	
JDKDHE1	JMSM1B1	9859	30541	527	13	
JDKDHE2	JMSM1B1	9859	30542	530	67	
JDKDHE3	JMSM1B1	9859	30543	523	42	
JDKDJL1	JMSM1B1	9859	30101	535	60	
JDKDJL2	JMSM1B1	9859	30102	520	47	
JDKDJL3	JMSM1B1	9859	30103	526	20	
JDKDLC1	JMSM1B1	9859	30061	528	37	
JDKDLC2	JMSM1B1	9859	30062	533	50	
JDKDLC3	JMSM1B1	9859	30063	512	30	
JDKGAJ1	JMSM1B1	9859	30431	517	45	
JDKGAJ2	JMSM1B1	9859	30432	528	75	
JDKGAJ3	JMSM1B1	9859	30053	536	51	
JDKGML1	JMSM1B1	9859	30401	529	21	
JDKGML2	JMSM1B1	9859	30402	515	15	
JDKGML3	JMSM1B1	9859	30403	537	13	
JDKHQO1	JMSM1B1	9859	30561	516	77	
JDKHQO2	JMSM1B1	9859	30562	522	36	
JDKHQO3	JMSM1B1	9859	30563	534	13	
JDKHSD1	JMSM1B1	9859	30071	530	72	
JDKHSD2	JMSM1B1	9859	30072	516	30	
JDKHSD3	JMSM1B1	9859	30073	519	61	
JDKJYJ1	JMSM1B1	9859	30461	533	61	
JDKJYJ2	JMSM1B1	9859	30462	537	10	
JDKJYJ3	JMSM1B1	9859	30463	517	32	
JDKJZG1	JMSM1B1	9859	30041	534	64	
JDKJZG2	JMSM1B1	9859	30042	512	34	
JDKJZG3	JMSM1B1	9859	30383	536	44	
JDKKHL1	JMSM1B1	9859	30341	517	14	
JDKKHL2	JMSM1B1	9859	30342	521	32	
JDKKHL3	JMSM1B1	9859	30343	514	42	
JDKLCH1	JMSM1B1	9859	30441	537	65	
JDKLCH2	JMSM1B1	9859	30442	533	67	
JDKLCH3	JMSM1B1	9859	30443	515	45	
JDKNJI1	JMSM1B1	9859	30211	530	27	
JDKNJI2	JMSM1B1	9859	30212	527	54	
JDKNJI3	JMSM1B1	9859	30213	516	16	
JDKQCZ1	JMSM1B1	9859	30161	532	12	
JDKQCZ2	JMSM1B1	9859	30162	528	22	
JDKQCZ3	JMSM1B1	9859	30163	524	74	
JDKSGL1	JMSM1B1	9859	30091	533	45	
JDKSGL2	JMSM1B1	9859	30092	523	32	
JDKSGL3	JMSM1B1	9859	30093	521	46	
JDKWGN1	JMSM1B1	9859	30111	529	62	
JDKWGN2	JMSM1B1	9859	30112	533	62	
JDKWGN3	JMSM1B1	9859	30113	514	17	
JDKWMC1	JMSM1B1	9859	30141	518	47	
JDKWMC2	JMSM1B1	9859	30142	526	55	
JDKWMC3	JMSM1B1	9859	30143	514	31	
JDKXCG1	JMSM1B1	9859	30371	519	73	
JDKXCG2	JMSM1B1	9859	30372	535	65	
JDKXCG3	JMSM1B1	9859	30373	514	63	
JDKXDL1	JMSM1B1	9859	30411	532	43	
JDKXDL2	JMSM1B1	9859	30412	520	70	
JDKXDL3	JMSM1B1	9859	30413	526	50	
JDKXGL1	JMSM1B1	9859	30131	522	50	
JDKXGL2	JMSM1B1	9859	30132	524	43	
