Cell	Site	Longitude	Latitude	Dir	Height	Tilt	Ground_Height	Cell_Type	Ant_Type	Ant_BW	Note	SiteName	Flag1	Flag2	Flag3	Flag4	Flag5	CI	BSC	Ant_size
JMJXXY9	JMJXXY9	113.060651	22.623991	0						45		江门现代信息服务园M9								
JMJGSA9	JMJGSA9	113.09599	22.62372	0						45		江门高沙9								
JMJDSA9	JMJDSA9	113.081707	22.580965	0						45		江门大厦（新港城）9								
JMJJHL9	JMJJHL9	113.1044	22.56361	0						45		江海区江海酒楼9								
JMJSDX9	JMJSDX9	113.07387	22.59108	0						45		江门市党校9								
JMJZXZ9	JMJZXZ9	113.06276	22.60687	0						45		中心血站9								
JMJLYN9	JMJLYN9	113.05171	22.58233	0						45		江门陵园9								
JMJYYE1	JMJYYE	113.08864	22.54702	30						45		江门永兴1								
JMJYYE2	JMJYYE	113.08864	22.54702	170						45		江门永兴2								
JMJYYE3	JMJYYE	113.08864	22.54702	270						45		江门永兴3								
JMJGYZ1	JMJGYZ	113.03942	22.67363	40						45		江门工业走廊1								
JMJGYZ2	JMJGYZ	113.03942	22.67363	180						45		江门工业走廊2								
JMJGYZ3	JMJGYZ	113.03942	22.67363	260						45		江门工业走廊3								
JDHSSE1	JDHSSE	112.99266	22.7631	35						45		鹤山上社D1								
JDHSSE2	JDHSSE	112.99266	22.7631	190						45		鹤山上社D2								
JDHSSE3	JDHSSE	112.99266	22.7631	295						45		鹤山上社D3								
JMJJHY9	JMJJHY9	113.10651	22.57481	0						45		江门江海花园M9								
JMJFLB9	JMJFLB9	113.082944	22.604998	0						45		江门丰乐宾馆M9								
JMJHLQ9	JMJHLQ9	113.0762	22.59208	0						45		江门华林证券M9								
JMJBHJ9	JMJBHJ9	113.05849	22.59018	0						45		江门博皇家居M9								
JMJBDD9	JMJBDD9	113.085413	22.595329	0						45		江门宝岛酒店M9								
JMJXHY9	JMJXHY9	113.06237	22.60957	0						45		江门市星河花园M9								
JMJWYY9	JMJWYY9	113.06632	22.62711	0						45		江门五邑豪苑M9								
JMJXTC9	JMJXTC9	113.094158	22.591293	0						45		江门新泰和广场M9								
JMJJYJ9	JMJJYJ9	113.06877	22.571267	0						45		江门市教育局9								
JMJPYN9	JMJPYN9	113.09189	22.5799	0						45		蓬苑桑拿9								
JMJTYQ9	JMJTYQ9	113.08103	22.5911501	0						45		江门体育馆二期9								
JMJFLG9	JMJFLG9	113.087273	22.578299	0						45		江门范罗岗花园M9								
JMJBLD9	JMJBLD9	113.1394	22.58053	0						45		江门奔力达电路板厂M9								
JMJJJY9	JMJJJY9	113.08529	22.615155	0						45		江门骏景花园M9								
JDJLLZ2	JDJLLZ	113.086	22.53055	150						45		江门礼乐中心D2								
JDJLLZ3	JDJLLZ	113.086	22.53055	350						45		江门礼乐中心D3								
JDKBJZ1	JDKBJZ	112.70201	22.37067	90						45		开平边检站D1								
JDKBJZ2	JDKBJZ	112.70201	22.37067	180						45		开平边检站D2								
JDKBJZ3	JDKBJZ	112.70201	22.37067	260						45		开平边检站D3								
JDKCSA1	JDKCSA	112.687756	22.36763	90						45		开平长沙D1								
JDKCSA2	JDKCSA	112.687756	22.36763	190						45		开平长沙D2								
JDKCSA3	JDKCSA	112.687756	22.36763	350						45		开平长沙D3								
JDKDDE1	JDKDDE	112.70006	22.36344	90						45		开平达德D1								
JDKDDE2	JDKDDE	112.70006	22.36344	180						45		开平达德D2								
JDKDDE3	JDKDDE	112.70006	22.36344	260						45		开平达德D3								
JDKDHE1	JDKDHE	112.685278	22.360278	40						45		开平东河D1								
JDKDHE2	JDKDHE	112.685278	22.360278	150						45		开平东河D2								
JDKDHE3	JDKDHE	112.685278	22.360278	250						45		开平东河D3								
JDKDJL1	JDKDJL	112.69211	22.36689	30						45		开平东郊路D1								
JDKDJL2	JDKDJL	112.69211	22.36689	170						45		开平东郊路D2								
JDKDJL3	JDKDJL	112.69211	22.36689	260						45		开平东郊路D3								
JDKDLC1	JDKDLC	112.71592	22.3783	20						45		开平涤纶厂D1								
JDKDLC2	JDKDLC	112.71592	22.3783	150						45		开平涤纶厂D2								
JDKDLC3	JDKDLC	112.71592	22.3783	270						45		开平涤纶厂D3								
JDKGAJ1	JDKGAJ	112.6895	22.356389	20						45		开平公安局D1								
JDKGAJ2	JDKGAJ	112.6895	22.356389	150						45		开平公安局D2								
JDKGAJ3	JDKGAJ	112.6895	22.35639	300						45		开平公安局D3								
JDKGML1	JDKGML	112.690278	22.374167	10						45		开平光明路D1								
JDKGML2	JDKGML	112.690278	22.374167	240						45		开平光明路D2								
JDKGML3	JDKGML	112.690278	22.374167	250						45		开平光明路D3								
JDKHQO1	JDKHQO	112.69306	22.36194	60						45		开平华侨D1								
JDKHQO2	JDKHQO	112.69306	22.36194	170						45		开平华侨D2								
JDKHQO3	JDKHQO	112.693056	22.361944	290						45		开平华侨D3								
JDKHSD1	JDKHSD	112.705049	22.378904	90						45		开平华仕达D1								
JDKHSD2	JDKHSD	112.705049	22.378904	260						45		开平华仕达D2								
JDKHSD3	JDKHSD	112.705049	22.378904	330						45		开平华仕达D3								
JDKJYJ1	JDKJYJ	112.6951	22.36839	110						45		开平教育局D1								
JDKJYJ2	JDKJYJ	112.6951	22.36839	180						45		开平教育局D2								
JDKJYJ3	JDKJYJ	112.6951	22.36839	60						45		开平教育局D3								
JDKJZG1	JDKJZG	112.69944	22.37055	60						45		金中广场D1								
JDKJZG2	JDKJZG	112.69944	22.37055	170						45		金中广场D2								
JDKJZG3	JDKJZG	112.696389	22.3725	290						45		金中广场D3								
JDKKHL1	JDKKHL	112.68341	22.36991	60						45		开平开华路D1								
JDKKHL2	JDKKHL	112.68341	22.36991	180						45		开平开华路D2								
