MSC	BSC	CELL	bts	lac	ci	BCCH	BSIC	Cell_name	bts_name	longitude	latitude	dir	height	tilt	ground_height	ant_bw	ant_size	band	tch	载波数
GZS06V	JMSM1B1	JDJLLZ2	JDJLLZ	9859	30082	522	64	江门礼乐中心D2	江门礼乐中心D2	113.086	22.53055	150	0	10	0				28	4
GZS06V	JMSM1B1	JDJLLZ3	JDJLLZ	9859	30083	529	22	江门礼乐中心D3	江门礼乐中心D3	113.086	22.53055	350	0	8	0				29	4
GZS06V	JMSM1B1	JDKDHE1	JDKDHE	9859	30541	514	62	开平东河D1	开平东河D1	112.685278	22.360278	40	0	8	0				28	4
GZS06V	JMSM1B1	JDKDHE2	JDKDHE	9859	30542	530	67	开平东河D2	开平东河D2	112.685278	22.360278	150	0	8	0				28	4
GZS06V	JMSM1B1	JDKDHE3	JDKDHE	9859	30543	523	42	开平东河D3	开平东河D3	112.685278	22.360278	250	0	8	0				44	6
GZS06V	JMSM1B1	JDKXDL1	JDKXDL	9859	30411	532	43	开平祥荻路D1	开平祥荻路D1	112.6775	22.361111	70	0	10	0				43	6
GZS06V	JMSM1B1	JDKXDL2	JDKXDL	9859	30412	520	70	开平祥荻路D2	开平祥荻路D2	112.6775	22.361111	170	0	10	0				43	6
GZS06V	JMSM1B1	JDKXDL3	JDKXDL	9859	30413	526	50	开平祥荻路D3	开平祥荻路D3	112.6775	22.361111	280	0	10	0				43	6
GZS06V	JMSM1B1	JDKXLY1	JDKXLY	9859	30711	530	51	开平祥龙公园D1	开平祥龙公园D1	112.67325	22.36078	40	0	9	0				55	8
GZS06V	JMSM1B1	JDKXLY2	JDKXLY	9859	30712	527	52	开平祥龙公园D2	开平祥龙公园D2	112.67325	22.36078	180	0	9	0				75	10
GZS06V	JMSM1B1	JDKXLY3	JDKXLY	9859	30713	512	40	开平祥龙公园D3	开平祥龙公园D3	112.67325	22.36078	320	0	9	0				29	4
GZS06V	JMSM1B1	JDKZHE1	JDKZHE	9859	20371	533	37	开平中和路D1	开平中和路D1	112.68093	22.35179	10	0	8	0				59	8
GZS06V	JMSM1B1	JDKZHE2	JDKZHE	9859	20372	520	33	开平中和路D2	开平中和路D2	112.68093	22.35179	140	0	5	0				59	8
GZS06V	JMSM1B1	JDKZHE3	JDKZHE	9859	20373	525	42	开平中和路D3	开平中和路D3	112.68093	22.35179	230	0	5	0				60	8
GZS06V	JMSM1B1	JMJLLZ1	JMJLLZ	9859	20081	33	63	江门礼乐中心1	江门礼乐中心1	113.085833	22.530556	90	0	10	0				71	10
GZS06V	JMSM1B1	JMJLLZ2	JMJLLZ	9859	20082	35	10	江门礼乐中心2	江门礼乐中心2	113.085833	22.530556	200	0	10	0				38	6
GZS06V	JMSM1B1	JMJLLZ3	JMJLLZ	9859	20083	44	77	江门礼乐中心3	江门礼乐中心3	113.085833	22.530556	290	0	10	0				56	8
GZS06V	JMSM1B1	JMJXBL1	JMJXBL	9859	21101	33	20	江门信义玻璃1	江门信义玻璃1	113.17072	22.54806	40	0	8	0				0	8
GZS06V	JMSM1B1	JMJXBL2	JMJXBL	9859	21102	35	55	江门信义玻璃2	江门信义玻璃2	113.17072	22.54806	180	0	8	0				0	8
GZS06V	JMSM1B1	JMJXBL3	JMJXBL	9859	21103	52	37	江门信义玻璃3	江门信义玻璃3	113.17072	22.54806	320	0	8	0				0	8
GZS06V	JMSM1B1	JMJYNC1	JMJYNC	9859	23791	48	61	江门英南村1	江门英南村1	113.0905	22.51946	30	0	4	0				29	4
GZS06V	JMSM1B1	JMJYNC2	JMJYNC	9859	23792	34	46	江门英南村2	江门英南村2	113.0905	22.51946	150	0	6	0				13	2
GZS06V	JMSM1B1	JMJYNC3	JMJYNC	9859	23793	42	74	江门英南村3	江门英南村3	113.0905	22.51946	290	0	4	0				28	4
GZS06V	JMSM1B1	JMJYNC8	JMJYNC	9859	23798	51	55	江门英南村8	江门英南村8	113.0905	22.51946	330	0	4	0				0	0
GZS06V	JMSM1B1	JMJZDG1	JMJZDG	9859	62921	43	72	江门中东1	江门中东1	113.16804	22.54153	80	0	6	0				29	4
GZS06V	JMSM1B1	JMJZDG2	JMJZDG	9859	62922	45	15	江门中东2	江门中东2	113.16804	22.54153	200	0	4	0				25	4
GZS06V	JMSM1B1	JMJZDG3	JMJZDG	9859	20403	53	66	江门中东3	江门中东3	113.16804	22.54153	310	0	6	0				21	3
GZS06V	JMSM1B1	JMJZDG9	JMJZDG	9859	62929	38	52	江门中东9	江门中东9	113.16804	22.54153	0	0	0	0				30	4
GZS06V	JMSM1B1	JMKBDJ9	JMKBDJ	9859	20029	34	70	开平半岛酒店M9	开平半岛酒店M9	112.683611	22.363611	0	0	0	0				60	8
GZS06V	JMSM1B1	JMKBJY1	JMKBJY	9859	20041	42	57	开平保健院1	开平保健院1	112.675528	22.356694	15	0	9	0				0	0
GZS06V	JMSM1B1	JMKBJY2	JMKBJY	9859	20042	53	47	开平保健院2	开平保健院2	112.675528	22.356694	130	0	10	0				0	0
GZS06V	JMSM1B1	JMKBJY3	JMKBJY	9859	20043	48	34	开平保健院3	开平保健院3	112.675528	22.356694	260	0	10	0				44	6
GZS06V	JMSM1B1	JMKDHE1	JMKDHE	9859	23001	33	25	开平东河1	开平东河1	112.685278	22.360278	40	0	10	0				29	4
GZS06V	JMSM1B1	JMKDHE2	JMKDHE	9859	23002	50	16	开平东河2	开平东河2	112.685278	22.360278	140	0	10	0				27	4
GZS06V	JMSM1B1	JMKDHE3	JMKDHE	9859	23003	56	32	开平东河3	开平东河3	112.685278	22.360278	250	0	9	0				59	8
GZS06V	JMSM1B1	JMKDHI1	JMKDHI	9859	20101	35	46	开平荻海1	开平荻海1	112.684722	22.354167	70	0	9	0				35	5
