CELL	BSC	LAI	CI	BCCH	BSIC	TCH	HOP	HSN
JDJLLZ1	JMSM1B1	9859	30081	518	54	[0] 518 557 592 [2] 633	[0] ON[2] OFF	[0]37[2]29
JDJLLZ2	JMSM1B1	9859	30082	522	64	[0] 522 582 594 [2] 590	[0] ON[2] OFF	[0]56[2]3
JDJLLZ3	JMSM1B1	9859	30083	529	22	[0] 529 620 625 [2] 631	[0] ON[2] OFF	[0]63[2]41
JDKBJZ1	JMSM1B1	9859	30181	520	35	[0] 520 581 611 [2] 552	[0] ON[2] OFF	[0]48[2]1
JDKBJZ2	JMSM1B1	9859	30182	528	53	[0] 528 544 584 [2] 602	[0] ON[2] OFF	[0]54[2]33
JDKBJZ3	JMSM1B1	9859	30183	531	40	[0] 531 561 571 593 609 [2] 555	[0] ON[2] OFF	[0]0[2]24
JDKCSA1	JMSM1B1	9859	31051	512	27	[0] 512 556 576 625 [2] 615 634	[0] ON[2] OFF	[0]0[2]15
JDKCSA2	JMSM1B1	9859	31052	518	26	[0] 518 540 544 600 617 [2] 568 592 627	[0] ON[2] OFF	[0]41[2]12
JDKCSA3	JMSM1B1	9859	31053	535	46	[0] 535 546 550 606 611 [2] 590 602 632	[0] ON[2] OFF	[0]19[2]10
JDKDDE1	JMSM1B1	9859	30581	527	76	[0] 527 541 553 562 570 [2] 585	[0] ON[2] OFF	[0]46[2]41
JDKDDE2	JMSM1B1	9859	30582	513	11	[0] 513 545 555 568 572 [2] 579	[0] ON[2] OFF	[0]34[2]11
JDKDDE3	JMSM1B1	9859	30583	525	51	[0] 525 551 576 582 599 604 [2] 593 610	[0] ON[2] OFF	[0]60[2]19
JDKDHE1	JMSM1B1	9859	30541	527	13	[0] 527 552 557 [2] 595	[0] ON[2] OFF	[0]10[2]49
JDKDHE2	JMSM1B1	9859	30542	530	67	[0] 530 545 570 [2] 577	[0] ON[2] OFF	[0]20[2]62
JDKDHE3	JMSM1B1	9859	30543	523	42	[0] 523 560 580 589 [2] 606 620	[0] ON[2] OFF	[0]29[2]6
JDKDJL1	JMSM1B1	9859	30101	535	60	[0] 535 565 580 620 632 [2] 624	[0] ON[2] OFF	[0]6[2]4
